Waste Paper,Quantity,Price
4707,133.4,209.1
4707,137.6,208.8
4707,122.5,212.9
4707,120,202.4
4707,159.1,204.3
4707,151.9,210.1
4707,142.2,221.3
4707,132.7,236.6
4707,156.2,229.4
4707,135.8,204.3
4707,137,212.1
4707,112.8,217.6
4707,148.4,203.2
4707,88.9,201.1
4707,135.5,187.2
4707,120.4,183.9
4707,129.7,204.7
4707,125.7,224.7
4707,56.6,157
4707,108.1,222.6
4707,116.1,244.9
4707,187.2,261.4
4707,123.5,257.7
4707,135.8,300.2
4707,73.4,221.8
4707,134.1,193.7
4707,93.8,176.5
4707,92.3,172.1
4707,86.6,178.1
4707,71.2,187.2
4707,97.1,167
4707,93.7,151.6
4707,78.8,153.3
4707,104.8,150.3
4707,99.8,136.4
4707,115.9,138.2
4707,72.1,145.5
4707,64.9,152.6
4707,65,136.7
4707,106.4,154.3
4707,87.6,176.8
4707,85.6,195.2
4707,62.5,197.5
4707,107.7,195.6
4707,66.1,202.4
4707,61.1,204.4
4707,59.9,210.7
4707,97.7,217
